,text,classification,reclassification
27666,diversifolia var. glaucophylla 448 ,taxon_identification,taxon_identification
27667,"drummondii 446, 449 ",habitat,habitat
27668,"flabellifolia 447, 449 ",habitat,habitat
27669,var. emarginata 449 ,taxon_identification,taxon_identification
27670,flohbunda 449 ,taxon_identification,taxon_identification
27671,fruticosa 449 ,taxon_identification,taxon_identification
27672,"fruticosa ssp. floribunda 444, 449, 450 ",habitat,habitat
27673,"glandulosa var. intermedia 446, 449 ",taxon_identification,taxon_identification
27674,gracilis 447-449 ,taxon_identification,taxon_identification
27675,var. flabelliformis 449 ,habitat,habitat
27676,var. gracilis 449 ,taxon_identification,taxon_identification
27677,"hippiana 446, 45 1 ",key,key
27678,var. argyrea 45 1 ,key,key
27679,millegrana 452 ,taxon_identification,key
27680,monspeliensis 45 1 ,key,key
27681,"multifida447,451 ",morphology,key
27682,"nivea 447, 45 1 ",key,key
27683,var. pulchella 451 ,key,key
27684,var. villosa 451 ,key,key
27685,"norvegica 446, 45 1 ",key,key
27686,"palustris 444, 451 ",habitat,habitat
27687,"paradoxa 446, 452 ",habitat,habitat
27688,"pensylvanica 446, 452, 453 ",habitat,habitat
27689,var. atrovirens 452 ,taxon_identification,taxon_identification
27690,var. pensylvanica 452 ,taxon_identification,taxon_identification
27691,pensylvanica ,taxon_identification,taxon_identification
27692,var. bipinnatifida 448 ,habitat,habitat
27693,"plattensis 446, 452 ",habitat,habitat
27694,"quinquefolia 447, 452 ",habitat,habitat
27695,"recta 447, 452 ",habitat,habitat
27696,"rivalis 446, 447, 452 ",habitat,habitat
27697,"saximontana 447, 454 ",habitat,habitat
27698,"sibbaldii 447, 454 ",habitat,habitat
27699,"tridentata 444, 454 ",habitat,habitat
27700,"Prenanthes 690, 699 ",key,key
27701,alba 699 ,taxon_identification,taxon_identification
27702,"racemosa 699, 700 ",habitat,habitat
27703,"sagittata 699, 700 ",habitat,habitat
27704,"Primula 580, 586 ",habitat,habitat
27705,egaliksensis 586 ,taxon_identification,taxon_identification
27706,"incana 582, 583, 586 ",habitat,habitat
27707,mistassinica 586 ,taxon_identification,taxon_identification
27708,stricta 586 ,habitat,habitat
27709,"Primulaceae 14,24,31,580 ",taxon_identification,taxon_identification
27710,"Prunella 620, 628 ",habitat,habitat
27711,vulgaris 628 ,taxon_identification,taxon_identification
27712,"Prunus 436, 454 ",key,key
27713,"americana 454, 455 ",habitat,habitat
27714,"nigra 454, 455 ",habitat,habitat
27715,"pensylvanica 454, 455 ",habitat,habitat
27716,"pumila 454, 455 ",habitat,habitat
27717,"virginiana 454, 455 ",habitat,habitat
27718,"var. melanocarpa 454, 455, 456 ",habitat,habitat
27719,Psedera quinquefolia 5 1 9 ,key,key
27720,vitacea 5 1 9 ,key,key
27721,"Pseudo-Cyperae 189, 200 ",habitat,key
27722,"Pseudotsuga 56, 60 ",key,key
27723,menziesii 60 ,key,key
27724,"Psilocarphus 704, 770 ",habitat,habitat
27725,elatior 770 ,taxon_identification,taxon_identification
27726,"Psoralea 462, 495 ",habitat,habitat
27727,argophylla 495 ,taxon_identification,taxon_identification
27728,"esculenta 495, 497, 498 ",habitat,habitat
27729,"lanceolata 495, 497, 499 ",habitat,habitat
27730,Psoralidium argophyllum 495 ,taxon_identification,taxon_identification
27731,lanceolatum 497 ,taxon_identification,taxon_identification
27732,Pteretis nodulosa 42 ,key,key
27733,pensylvanica 42 ,key,key
27734,"Pteridium 35, 44 ",key,key
27735,aquilinum 44 ,taxon_identification,key
27736,var. pubescens 46 ,key,key
27737,"Pteridophyta 20, 32, 790 ",key,key
27738,"Pterospora 570, 571 ",habitat,habitat
27739,andromedea 571 ,taxon_identification,taxon_identification
27740,"Puccinellia 80, 166 ",taxon_identification,taxon_identification
27741,distans 166 ,taxon_identification,taxon_identification
27742,"nuttalliana 166, 167 ",habitat,habitat
27743,phryganodes 166 ,taxon_identification,taxon_identification
27744,Pulsatilla ludoviciana 366 ,taxon_identification,taxon_identification
27745,occidentalis 365 ,taxon_identification,taxon_identification
27746,patens ssp. teklae 366 ,habitat,habitat
27747,"Pyrola 567, 569 ",habitat,habitat
27748,asarifolia 569 ,taxon_identification,taxon_identification
27749,"var. incarnata 568, 569 ",habitat,habitat
27750,bracteata 569 ,taxon_identification,taxon_identification
27751,chlorantha 570 ,taxon_identification,taxon_identification
27752,"elliptica 569, 570 ",habitat,habitat
27753,"minor 569, 570 ",taxon_identification,taxon_identification
27754,"picta 569, 570 ",habitat,habitat
27755,"rotundifolia 569, 570 ",habitat,habitat
27756,"secunda 568, 569, 570 ",habitat,habitat
27757,uniflora 567 ,taxon_identification,taxon_identification
27758,"virens 569, 570 ",taxon_identification,taxon_identification
27759,"Pyrolaceae 26, 29, 31,567 ",key,key
27760,Pyrrocoma lanceolata 759 ,taxon_identification,taxon_identification
27761,Quercus 303 ,taxon_identification,taxon_identification
27762,macrocarpa 303 ,taxon_identification,taxon_identification
27763,"Ranunculaceae 24-28, 362 ",taxon_identification,taxon_identification
27764,"Ranunculus 363, 374 ",taxon_identification,taxon_identification
27765,"abortivus 375, 376 ",taxon_identification,taxon_identification
27766,"acris 375, 376 ",taxon_identification,taxon_identification
27767,affinis 380 ,taxon_identification,taxon_identification
27768,"aquatilis 374, 377 ",habitat,habitat
27769,var. capillaceus 377 ,habitat,habitat
27770,var. eradicatus 377 ,habitat,habitat
27771,var. longirostris 377 ,taxon_identification,taxon_identification
27772,var. subrigidus 377 ,habitat,habitat
27773,buddii 379 ,taxon_identification,taxon_identification
27774,"cardiophyllus 375, 377, 378 ",habitat,habitat
27775,"cymbalaria 375, 377 ",habitat,habitat
27776,"fascicularis 376, 377 ",taxon_identification,taxon_identification
27777,flammula 374 ,taxon_identification,taxon_identification
27778,var. filiformis 377 ,key,key
27779,var. ovalis 377 ,key,key
27780,"gelidus 376, 379 ",habitat,habitat
27781,"glaberrimus 374, 379 ",habitat,habitat
27782,var. ellipticus 379 ,habitat,habitat
27783,"gmelinii 374, 376, 379 ",habitat,habitat
27784,"hyperboreus 375, 379 ",habitat,habitat
27785,var. intertextus 379 ,habitat,habitat
27786,"inamoenus 375, 379 ",habitat,habitat
27787,"lapponicus 375, 379 ",habitat,habitat
27788,"macounii 376, 379 ",taxon_identification,taxon_identification
27789,"nivalis 375, 379, 380 ",habitat,habitat
27790,var. eschscholtzii 380 ,key,key
27791,var. nivalis 380 ,key,key
27792,"occidentalis 375, 380 ",habitat,habitat
27793,var. brevistylis 380 ,habitat,habitat
27794,ovalis 381 ,taxon_identification,taxon_identification
27795,"pallassii 374, 380 ",habitat,habitat
27796,"pedatifidus var. leiocarpus 375, 380 ",habitat,habitat
27797,"pensylvanicus 376, 380 ",habitat,habitat
27798,"pygmaeus 375, 380 ",habitat,habitat
27799,"repens 376, 380 ",taxon_identification,taxon_identification
27800,"rhomboideus 375, 380 ",habitat,habitat
27801,"sceleratus 376, 380, 381 ",habitat,habitat
27802,"septentrionalis 376, 381 ",taxon_identification,taxon_identification
27803,"uncinatus 375, 381 ",habitat,habitat
27804,verecundus 380 ,taxon_identification,taxon_identification
27805,"Raphanus 391, 414 ",taxon_identification,taxon_identification
27806,"raphanistrum 390, 414 ",habitat,habitat
27807,"Rapistrum 391, 414 ",habitat,habitat
27808,perenne 414 ,taxon_identification,taxon_identification
27809,"Ratibida 684, 707, 770 ",habitat,habitat
27810,"columnifera 770, 772 ",habitat,habitat
27811,f. pulcherrima 770 ,taxon_identification,taxon_identification
27812,Reseda 417 ,taxon_identification,taxon_identification
27813,alba 417 ,taxon_identification,taxon_identification
27814,lutea417 ,morphology,morphology
27815,"Resedaceae 27, 417 ",key,key
27816,"Rhamnaceae 29, 518 ",key,key
27817,Rhamnus 518 ,taxon_identification,taxon_identification
27818,alnifolius 518 ,taxon_identification,taxon_identification
27819,catharticus 518 ,taxon_identification,taxon_identification
27820,"frangula518, 519 ",habitat,habitat
27821,"Rhinanthus 639, 654 ",habitat,habitat
27822,crista-galli 654 ,taxon_identification,taxon_identification
27823,"Rhododendron 572, 577 ",habitat,habitat
27824,albiflorum 577 ,taxon_identification,taxon_identification
27825,lapponicum 577 ,taxon_identification,taxon_identification
27826,Rhus 514 ,taxon_identification,taxon_identification
27827,aromatica van trilobata 515 ,taxon_identification,taxon_identification
27828,"glabra 514, 515 ",taxon_identification,taxon_identification
27829,"radicans var. rydbergii 515, 516 ",habitat,habitat
27830,"Rhynchospora 182, 241 ",taxon_identification,taxon_identification
27831,alba 241 ,taxon_identification,taxon_identification
27832,capillacea 241 ,taxon_identification,taxon_identification
27833,"Ribes 29, 420, 427 ",key,key
27834,americanum 428 ,taxon_identification,taxon_identification
27835,"aureum 427, 428 ",habitat,habitat
27836,diacanthum 428 ,taxon_identification,taxon_identification
27837,floridum 428 ,taxon_identification,taxon_identification
27838,"glandulosum 427, 428 ",habitat,habitat
27839,hirtellum 429 ,taxon_identification,taxon_identification
27840,hudsonianum 428 ,taxon_identification,taxon_identification
27841,"lacustre 427, 428 ",habitat,habitat
27842,"laxiflorum 427, 429 ",habitat,habitat
27843,oxyacanthoides var. oxyacanthoides ,key,key
27844,"427, 429, 430 ",habitat,habitat
27845,var. saxosum 429 ,habitat,habitat
27846,rubrum var. propinquum 429 ,taxon_identification,taxon_identification
27847,setosum 429 ,taxon_identification,taxon_identification
27848,triste 429 ,taxon_identification,taxon_identification
27849,"viscosissimum 427, 429 ",taxon_identification,taxon_identification
27850,"Romanzoffia 605, 607 ",habitat,habitat
27851,sitchensis 607 ,taxon_identification,taxon_identification
27852,"Rorippa 391-393, 414 ",taxon_identification,taxon_identification
27853,austriaca 414 ,taxon_identification,taxon_identification
27854,hispida 4 1 5 ,key,key
27855,islandica 415 ,taxon_identification,key
27856,var. fernaldiana 415 ,key,key
27857,var. hispida 415 ,taxon_identification,key
27858,palustris 4 1 5 ,key,key
27859,sinuata 415 ,taxon_identification,taxon_identification
27860,sylvestris 415 ,taxon_identification,taxon_identification
27861,tenerrima 415 ,taxon_identification,taxon_identification
27862,"Rosa 437, 455 ",taxon_identification,taxon_identification
27863,acicularis 457 ,taxon_identification,taxon_identification
27864,arkansana 457 ,taxon_identification,taxon_identification
27865,blanda 457 ,taxon_identification,taxon_identification
27866,woodsii 457 ,taxon_identification,taxon_identification
27867,"Rosaceae 27, 29, 436 ",key,key
27868,"Rubiaceae 31, 667 ",taxon_identification,taxon_identification
27869,"Rubus 436, 437, 458 ",habitat,habitat
27870,acaulis 458 ,taxon_identification,taxon_identification
27871,chamaemorus 458 ,taxon_identification,taxon_identification
27872,"idaeus var. aculeatissimus 458, 459 ",habitat,habitat
27873,melanolasius 458 ,taxon_identification,taxon_identification
27874,"parviflorus 458, 460 ",habitat,habitat
27875,"pedatus 458, 460 ",habitat,habitat
27876,"pubescens 458, 460 ",habitat,habitat
27877,strigosus 458 ,taxon_identification,taxon_identification
27878,"Rudbeckia 707, 773 ",key,key
27879,hirta 773 ,taxon_identification,taxon_identification
27880,laciniata 773 ,taxon_identification,taxon_identification
27881,serotina 773 ,taxon_identification,taxon_identification
27882,"Rumex 309, 320 ",taxon_identification,taxon_identification
27883,"acetosa 320, 321 ",taxon_identification,taxon_identification
27884,"acetosella 320, 321,322 ",taxon_identification,taxon_identification
27885,confertus 32 1 ,key,key
27886,crispus 321 ,taxon_identification,taxon_identification
27887,"dentatus 320, 323 ",habitat,habitat
27888,domesticus var. pseudonatronatus 323 ,habitat,habitat
27889,"fennicus 321, 323 ",habitat,habitat
27890,"longifolius 321, 323 ",habitat,habitat
27891,"maritimus var. fueginus 320, 323 ",habitat,habitat
27892,mexicanus 324 ,taxon_identification,taxon_identification
27893,"occidentalis 321, 323 ",habitat,habitat
27894,"orbiculatus 321, 323 ",habitat,habitat
27895,"paucifolius 320, 323 ",habitat,habitat
27896,"salicifolius 321, 324 ",taxon_identification,taxon_identification
27897,"stenophyllus 321, 324 ",habitat,habitat
27898,triangulivalvis 324 ,taxon_identification,taxon_identification
27899,"venosus 320, 324, 325 ",habitat,habitat
27900,"Rupestres 186, 190, 196 ",habitat,habitat
27901,"Ruppia 65, 67 ",key,key
27902,maritima 67 ,taxon_identification,key
27903,occidentalis 67 ,key,key
27904,Sabina horizontalis 61 ,taxon_identification,taxon_identification
27905,"Sagina 348, 354 ",habitat,habitat
27906,caespitosa 355 ,taxon_identification,taxon_identification
27907,"decumbens 354, 355 ",taxon_identification,taxon_identification
27908,nodosa 355 ,taxon_identification,taxon_identification
27909,saginoides 355 ,taxon_identification,taxon_identification
27910,"Sagittaria 69, 70 ",key,key
27911,"cuneata 70, 72 ",key,key
27912,latifolia 70 ,taxon_identification,taxon_identification
27913,"Salicaceae 25, 279 ",taxon_identification,taxon_identification
27914,"Salicornia 24, 324, 338 ",key,key
27915,europaea 338 ,taxon_identification,taxon_identification
27916,rubra 338 ,taxon_identification,taxon_identification
27917,"Salix 280-282, 286 ",taxon_identification,taxon_identification
27918,"alaxensis 284, 287, 290 ",habitat,habitat
27919,"alba 286, 287, 290 ",taxon_identification,taxon_identification
27920,"amygdaloides 286, 288, 290 ",habitat,habitat
27921,"arbusculoides 284, 288, 291 ",habitat,habitat
27922,"arctica284, 289, 291 ",habitat,habitat
27923,"arctophila 284, 289, 291 ",habitat,habitat
27924,"barclayi 284, 285, 288, 291 ",habitat,habitat
27925,"barrattiana 284, 292 ",habitat,habitat
27926,"bebbiana 282, 287, 290, 292 ",habitat,habitat
27927,"brachycarpa 284, 287, 292, 293 ",habitat,habitat
27928,"calcicola 285, 288, 289, 292 ",habitat,habitat
27929,"Candida 284, 287, 292 ",habitat,habitat
27930,"commutata 285, 287, 294 ",habitat,habitat
27931,"discolor 285, 287, 290, 294 ",habitat,habitat
27932,drummondiana 297 ,taxon_identification,taxon_identification
27933,exigua 295 ,taxon_identification,taxon_identification
27934,fluviatilis 295 ,taxon_identification,taxon_identification
27935,f. hindsiana 295 ,taxon_identification,taxon_identification
27936,var. sericans 295 ,habitat,habitat
27937,"fragilis 286, 288, 294 ",habitat,habitat
27938,"glauca 284, 287, 289, 290, 294 ",habitat,habitat
27939,"herbacea 286, 289, 294 ",habitat,habitat
27940,"humilis 285, 287, 294 ",taxon_identification,taxon_identification
27941,"interior 282, 286-288, 295 ",habitat,habitat
27942,var. pedicellata 295 ,taxon_identification,taxon_identification
27943,var. wheeleri 295 ,taxon_identification,taxon_identification
27944,lasiandra 295 ,taxon_identification,taxon_identification
27945,"lucida 286, 288, 295 ",habitat,habitat
27946,"lutea 286, 289, 290, 295 ",habitat,habitat
27947,"maccalliana 284, 289, 296 ",habitat,habitat
27948,"mackenzieana 285, 289, 296 ",habitat,habitat
27949,"monticola 285, 289, 290, 296 ",habitat,habitat
27950,"myrtillifolia 286, 288, 296 ",habitat,habitat
27951,nivalis 298 ,taxon_identification,taxon_identification
27952,"pedicellaris 286, 290, 296 ",habitat,habitat
27953,var. athabascensis 297 ,habitat,habitat
27954,"pellita 285, 287, 290, 297 ",habitat,habitat
27955,var. angustifolia 297 ,taxon_identification,taxon_identification
27956,"var. psila 285, 297 ",habitat,habitat
27957,"pentandra 286, 288, 297 ",habitat,habitat
27958,"petiolaris 284, 288, 297 ",habitat,habitat
27959,phylicifolia 298 ,taxon_identification,taxon_identification
27960,ssp. planifolia 298 ,habitat,habitat
27961,"planifolia 285, 290, 297 ",habitat,habitat
27962,"pyrifolia 285, 286, 288, 298 ",habitat,habitat
27963,"reticulata 288, 289, 298 ",habitat,habitat
27964,var. nivalis 298 ,taxon_identification,taxon_identification
27965,"serissima 286, 288, 298 ",habitat,habitat
27966,"sitchensis 284, 287, 298 ",habitat,habitat
27967,"vestita 284, 287, 289, 298 ",habitat,habitat
27968,"Salsola 324, 339 ",habitat,habitat
27969,kali var. tenuifolia 339 ,taxon_identification,taxon_identification
27970,pestifer 339 ,taxon_identification,taxon_identification
27971,"Salvia 620, 628 ",habitat,habitat
27972,nemorosa 628 ,taxon_identification,taxon_identification
27973,"reflexa 628, 629 ",habitat,habitat
27974,"Sambucus 670, 674 ",habitat,habitat
27975,racemosa 674 ,taxon_identification,taxon_identification
27976,var. arborescens 674 ,key,key
27977,var. pubens 674 ,habitat,habitat
27978,"Sanguinaria 384, 385 ",habitat,habitat
27979,canadensis 385 ,taxon_identification,taxon_identification
27980,"Sanicula 548, 561 ",habitat,habitat
27981,"marilandica 561, 562 ",habitat,habitat
27982,"Santalaceae 24, 305 ",taxon_identification,taxon_identification
27983,"Saponaria 347, 355 ",habitat,habitat
27984,"vaccaria 355, 356 ",habitat,habitat
27985,"Sarcobatus 25, 324, 339 ",key,key
27986,"vermiculatus 339, 340 ",habitat,habitat
27987,Sarracenia 418 ,taxon_identification,taxon_identification
27988,purpurea 418 ,taxon_identification,taxon_identification
27989,"Sarraceniaceae 26, 418 ",key,key
27990,"Saussurea 705, 773 ",habitat,habitat
27991,glomerata 773 ,taxon_identification,taxon_identification
27992,nuda var. densa 773 ,key,key
27993,"Saxifraga421,429 ",morphology,morphology
27994,adscendens ssp. oregonensis 431 ,habitat,habitat
27995,aizoides 431 ,taxon_identification,taxon_identification
27996,"bronchialis var. austromontana 431, cernua 431, 432 ",habitat,habitat
27997,"cespitosa431, 432 ",habitat,habitat
27998,"ferruginea 431, 432 ",habitat,habitat
27999,f. vreelandii 432 ,taxon_identification,taxon_identification
28000,"flagellaris 43 1, 432 ",key,key
28001,"hirculus 431, 432 ",habitat,habitat
28002,"lyallii 431, 432 ",taxon_identification,taxon_identification
28003,var. hultenii 432 ,taxon_identification,taxon_identification
28004,var. laxa 433 ,taxon_identification,taxon_identification
28005,"mertensiana 429, 433 ",habitat,habitat
28006,"occidentalis 431, 433 ",habitat,habitat
28007,"oppositifolia 429, 433 ",habitat,habitat
28008,"pensylvanica 429, 433, 434 ",habitat,habitat
28009,"punctata var. porsildiana 43 1, 433 ",key,key
28010,rhomboidea 433 ,taxon_identification,taxon_identification
28011,"rivularis431, 433 ",habitat,habitat
28012,"tricuspidata 431, 435 ",habitat,habitat
28013,"virginiensis 431, 435 ",habitat,habitat
28014,"Saxifragaceae 24, 28, 29, 420 ",key,key
28015,Scabiosa arvensis 68 1 ,taxon_identification,taxon_identification
28016,"Scandix549, 561 ",habitat,habitat
28017,pecten-veneris 561 ,taxon_identification,taxon_identification
28018,"Schedonnardus 83, 166 ",taxon_identification,taxon_identification
28019,paniculatus 166 ,taxon_identification,taxon_identification
28020,Scheuchzeria 68 ,taxon_identification,taxon_identification
28021,palustris 68 ,taxon_identification,taxon_identification
28022,"Schizachne 79, 168 ",key,key
28023,"purpurascens 168, 169 ",taxon_identification,taxon_identification
28024,Scirpinae 185 ,taxon_identification,taxon_identification
28025,"Scirpus 182,242 ",taxon_identification,taxon_identification
28026,"acutus 242, 243 ",habitat,habitat
28027,"americanus 242, 243 ",habitat,habitat
28028,atrovirens 243 ,taxon_identification,taxon_identification
28029,caespitosus 242 ,taxon_identification,taxon_identification
28030,van callosus 243 ,taxon_identification,taxon_identification
28031,"clintonii 242, 243 ",habitat,habitat
28032,cyperinus 243 ,taxon_identification,taxon_identification
28033,"fluviatilis 242, 244 ",habitat,habitat
28034,"hudsonianus 242, 244 ",habitat,habitat
28035,"microcarpus 243, 244 ",habitat,habitat
28036,"nevadensis 242, 244 ",taxon_identification,taxon_identification
28037,"paludosus 243, 244 ",habitat,habitat
28038,"pumilus 242, 244 ",habitat,habitat
28039,"rufus 242, 244 ",habitat,habitat
28040,"torreyi 242, 244 ",taxon_identification,taxon_identification
28041,"validus 242, 244 ",taxon_identification,taxon_identification
28042,"Scolochloa 79, 168 ",key,key
28043,"festucacea 168, 170 ",habitat,habitat
28044,"Scrophularia 639, 654 ",habitat,habitat
28045,lanceolata 654 ,taxon_identification,taxon_identification
28046,"Scrophulariaceae 30, 31, 638 ",key,key
28047,"Scutellaria 621, 629 ",habitat,habitat
28048,epilobiifolia 629 ,taxon_identification,taxon_identification
28049,galericulata 629 ,taxon_identification,taxon_identification
28050,lateriflora 629 ,taxon_identification,taxon_identification
28051,parvula var. leonardii 629 ,taxon_identification,taxon_identification
28052,"Secale 80, 168 ",key,key
28053,cereale 168 ,taxon_identification,taxon_identification
28054,Sedum 418 ,taxon_identification,taxon_identification
28055,acre 419 ,taxon_identification,taxon_identification
28056,aizoon 419 ,taxon_identification,taxon_identification
28057,hybridum419 ,morphology,morphology
28058,lanceolatum 419 ,taxon_identification,taxon_identification
28059,rosea 419 ,taxon_identification,taxon_identification
28060,var. integrifolium 420 ,taxon_identification,taxon_identification
28061,"stenopetalum 419, 420 ",taxon_identification,taxon_identification
28062,"telephium419, 420 ",habitat,habitat
28063,Selaginella 55 ,key,key
28064,densa 55 ,key,key
28065,rupestris 55 ,habitat,habitat
28066,selaginoides 55 ,habitat,habitat
28067,wallacei 55 ,habitat,habitat
28068,"Selaginellaceae 20, 55 ",key,key
28069,"Senecio 705, 706, 774 ",habitat,habitat
28070,aureus 775 ,taxon_identification,taxon_identification
28071,"canus 775, 776 ",habitat,habitat
28072,"congestus 774, 775 ",habitat,habitat
28073,"eremophilus 774, 777, 778 ",habitat,habitat
28074,"foetidus 774, 777 ",morphology,morphology
28075,"fremontii 774, 777 ",key,key
28076,"indecorus 775, 777 ",habitat,habitat
28077,"integerrimus 774, 777 ",habitat,habitat
28078,var. exaltatus 777 ,habitat,habitat
28079,var. integerrimus 777 ,key,key
28080,var. lugens 777 ,key,key
28081,"megacephalus 774, 779 ",habitat,habitat
28082,palustris 775 ,taxon_identification,taxon_identification
28083,"pauciflorus 775, 779 ",habitat,habitat
28084,"pauperculus 775, 779 ",habitat,habitat
28085,var. firmifolius 779 ,key,key
28086,var. pauperculus 779 ,habitat,habitat
28087,var. thomsoniensis 779 ,habitat,habitat
28088,"resedifolius 774, 779 ",morphology,morphology
28089,"streptanthifolius 774, 775, 779 ",morphology,morphology
28090,"triangularis 774, 780 ",habitat,habitat
28091,"tridenticulatus 774, 775, 780 ",morphology,morphology
28092,"viscosus 774, 780 ",habitat,habitat
28093,"vulgaris 774, 780 ",habitat,habitat
28094,"Setaria83, 168 ",habitat,habitat
28095,glauca 168 ,taxon_identification,taxon_identification
28096,"viridis 168, 171, 172 ",key,key
28097,Shepherdia 534 ,taxon_identification,taxon_identification
28098,"argentea 534, 535 ",habitat,habitat
28099,canadensis 534 ,taxon_identification,taxon_identification
28100,Sibbaldiopsis tridentata 454 ,taxon_identification,taxon_identification
28101,Side ran thus grindelioides 759 ,key,key
28102,spinulosus 759 ,taxon_identification,taxon_identification
28103,Sieversia triflora 444 ,taxon_identification,taxon_identification
28104,"Silene 347, 355 ",taxon_identification,taxon_identification
28105,acaulis var. exscapa 357 ,taxon_identification,taxon_identification
28106,anthirrina 357 ,taxon_identification,taxon_identification
28107,cserei 357 ,taxon_identification,taxon_identification
28108,cucubalus 357 ,taxon_identification,taxon_identification
28109,"menziesii 357, 358 ",habitat,habitat
28110,"noctiflora 357, 358 ",habitat,habitat
28111,"parryi 357, 358 ",taxon_identification,taxon_identification
28112,"sibirica 357, 358 ",habitat,habitat
28113,vulgaris 357 ,taxon_identification,taxon_identification
28114,"Sisymbrium 392, 415 ",taxon_identification,taxon_identification
28115,"altissimum 415, 416 ",habitat,habitat
28116,"linifolium 415, 416 ",habitat,habitat
28117,loeselii 416 ,taxon_identification,taxon_identification
28118,"officinale 415, 416 ",habitat,habitat
28119,var. leiocarpum 416 ,taxon_identification,taxon_identification
28120,"Sisyrinchium 268, 270 ",taxon_identification,taxon_identification
28121,angustifolium 270 ,taxon_identification,taxon_identification
28122,montanum 270 ,taxon_identification,taxon_identification
28123,"Sitanion81, 171 ",habitat,habitat
28124,hystrix 171 ,taxon_identification,taxon_identification
28125,"Sium 548, 555, 563 ",habitat,habitat
28126,cicutaefolium 563 ,taxon_identification,taxon_identification
28127,"suave 563, 564 ",habitat,habitat
28128,"Smelowskia 392, 416 ",habitat,habitat
28129,calycina var. americana 416 ,taxon_identification,taxon_identification
28130,"Smilacina 257, 265 ",habitat,habitat
28131,racemosa 265 ,taxon_identification,taxon_identification
28132,var. amplexicaulis 265 ,taxon_identification,taxon_identification
28133,stellata 265 ,taxon_identification,taxon_identification
28134,trifolia 265 ,taxon_identification,taxon_identification
28135,"Smilax 256, 265 ",habitat,habitat
28136,herbacea var. lasioneura 265 ,taxon_identification,taxon_identification
28137,"Solanaceae 31, 631 ",taxon_identification,taxon_identification
28138,Solanum 631 ,taxon_identification,taxon_identification
28139,"dulcamara 634, 635, 636 ",habitat,habitat
28140,interius 635 ,taxon_identification,taxon_identification
28141,"nigrum 634, 635 ",habitat,habitat
28142,"rostratum 634, 635 ",habitat,habitat
28143,sarachoides 635 ,taxon_identification,taxon_identification
28144,"triflorum 634, 635, 637 ",habitat,habitat
28145,"Solidago 706, 780 ",taxon_identification,taxon_identification
28146,"bicolor781,782 ",morphology,morphology
28147,"var. concolor 781, 782 ",key,key
28148,canadensis 782 ,taxon_identification,taxon_identification
28149,"var. canadensis 782, 783 ",habitat,habitat
28150,var. gilvocanescens 782 ,habitat,habitat
28151,decumbens 785 ,taxon_identification,taxon_identification
28152,gigantea var. serotina 782 ,taxon_identification,taxon_identification
28153,glaberrima 784 ,morphology,morphology
28154,graminifolia 781 ,taxon_identification,taxon_identification
28155,var. graminifolia 782 ,key,key
28156,var. major 784 ,key,key
28157,hispida var. lanata 782 ,taxon_identification,taxon_identification
28158,"juncea 782, 784 ",habitat,habitat
28159,lutescens 785 ,taxon_identification,taxon_identification
28160,"missouriensis 782, 784, 785 ",habitat,habitat
28161,var. fasciculata 785 ,key,key
28162,"mollis 781, 782, 784 ",habitat,habitat
28163,"multiradiata781,784 ",morphology,morphology
28164,"nemoralis 781, 784 ",habitat,habitat
28165,oreophila 785 ,key,key
28166,pruinosa 782 ,taxon_identification,taxon_identification
28167,"ptarmicoides 780, 785 ",habitat,habitat
28168,"riddellii. 78 1,785 ",taxon_identification,taxon_identification
28169,"rigida var. humilis 781, 785, 786 ",key,key
28170,serotina 782 ,taxon_identification,taxon_identification
28171,"spathulata var. spathulata 781, 785, uliginosa 781, 785 ",habitat,habitat
28172,"Sonchus 690, 700 ",habitat,habitat
28173,"arvensis 700, 701 ",taxon_identification,taxon_identification
28174,var. glabrescens 700 ,habitat,habitat
28175,asper 700 ,taxon_identification,taxon_identification
28176,oleraceus 700 ,taxon_identification,taxon_identification
28177,f. integrifolius 702 ,taxon_identification,taxon_identification
28178,uliginosus 700 ,taxon_identification,taxon_identification
28179,Sophia brachycarpa 402 ,taxon_identification,taxon_identification
28180,multifida 402 ,taxon_identification,taxon_identification
28181,richardsonii 402 ,taxon_identification,taxon_identification
28182,"Sorbaria 437, 460 ",habitat,habitat
28183,sorbifolia 460 ,taxon_identification,taxon_identification
28184,"Sorbus 437, 460 ",habitat,habitat
28185,americana 460 ,taxon_identification,taxon_identification
28186,"aucuparia 460, 461 ",habitat,habitat
28187,scopulina 46 1 ,key,key
28188,"sitchensis 460, 461 ",habitat,habitat
28189,"Sorghastrum 84, 171 ",taxon_identification,taxon_identification
28190,nutans 171 ,taxon_identification,taxon_identification
28191,"Sparganiaceae 22, 63 ",key,key
28192,Sparganium 63 ,taxon_identification,key
28193,angustifolium 63 ,key,key
28194,chlorocarpum var. acaule 63 ,taxon_identification,key
28195,"eurycarpum 63, 65 ",key,key
28196,"fluctuans 63, 65 ",key,key
28197,"hyperboreum 63, 65 ",key,key
28198,"minimum 63, 65 ",key,key
28199,"multipedunculatum 63, 65 ",key,key
28200,"Spartina 83, 171 ",key,key
28201,"gracilis 171, 173 ",taxon_identification,taxon_identification
28202,"pectinata 171, 174 ",taxon_identification,taxon_identification
28203,"Spergula 347, 358 ",taxon_identification,taxon_identification
28204,arvensis 358 ,taxon_identification,taxon_identification
